0,1.18167e+00,7.56585e+03,1.90233e+02,1.88473e+02,1.89877e+02,1.95960e+02,1.89773e+02,2.00124e+02,1.94759e+02,1.91311e+02,2.03780e+02,1.96957e+02
100,1.18167e+00,7.09850e+03,1.78016e+02,1.76211e+02,1.78138e+02,1.80725e+02,1.75001e+02,1.80078e+02,1.76718e+02,1.78473e+02,1.79027e+02,1.78211e+02
200,1.18167e+00,6.97971e+03,1.74579e+02,1.73625e+02,1.74729e+02,1.73890e+02,1.70919e+02,1.75092e+02,1.69544e+02,1.76487e+02,1.68639e+02,1.71727e+02
300,1.18167e+00,6.89294e+03,1.72393e+02,1.75365e+02,1.73215e+02,1.72719e+02,1.71588e+02,1.74029e+02,1.70117e+02,1.76753e+02,1.67672e+02,1.73581e+02
400,1.18167e+00,6.88899e+03,1.72274e+02,1.72465e+02,1.74284e+02,1.74013e+02,1.70164e+02,1.72943e+02,1.69485e+02,1.78218e+02,1.65191e+02,1.71448e+02
500,1.18167e+00,6.92506e+03,1.72997e+02,1.74024e+02,1.72743e+02,1.74149e+02,1.70995e+02,1.71065e+02,1.68231e+02,1.76505e+02,1.64704e+02,1.72131e+02
600,1.18167e+00,6.85577e+03,1.71248e+02,1.73706e+02,1.72538e+02,1.74356e+02,1.70456e+02,1.71520e+02,1.69336e+02,1.78793e+02,1.64480e+02,1.71909e+02
700,1.18167e+00,6.85695e+03,1.71467e+02,1.73212e+02,1.71706e+02,1.73808e+02,1.72071e+02,1.73537e+02,1.67950e+02,1.77509e+02,1.63804e+02,1.71351e+02
800,1.18167e+00,6.85275e+03,1.71312e+02,1.72432e+02,1.71753e+02,1.74177e+02,1.70849e+02,1.73062e+02,1.65842e+02,1.76283e+02,1.65456e+02,1.69092e+02
900,1.18167e+00,6.89081e+03,1.72215e+02,1.73381e+02,1.72109e+02,1.73562e+02,1.71794e+02,1.72936e+02,1.68072e+02,1.76200e+02,1.65542e+02,1.70016e+02
1000,1.18167e+00,6.85301e+03,1.71336e+02,1.72641e+02,1.71877e+02,1.72096e+02,1.71714e+02,1.72370e+02,1.67764e+02,1.76747e+02,1.63851e+02,1.69546e+02
