0,-2.35668e-01,1.37260e+00,4.19554e-02,5.07151e-01,5.08584e-01,4.96361e-01,5.08848e-01,5.20230e-01,5.27034e-01,4.96424e-01,4.96102e-01,5.32896e-01,5.30044e-01
100,-6.26299e-01,3.59567e-01,1.85554e-01,5.02356e-01,5.11702e-01,5.00162e-01,4.88404e-01,5.76638e-01,5.29038e-01,5.20392e-01,4.98286e-01,5.31258e-01,5.07947e-01
200,-8.25137e-01,1.95985e-01,2.57768e-01,4.96802e-01,5.06479e-01,4.87383e-01,4.85700e-01,5.59552e-01,5.35981e-01,5.17604e-01,4.92941e-01,5.28045e-01,5.09231e-01
300,-8.94418e-01,1.31161e-01,2.50724e-01,4.92452e-01,5.12307e-01,4.81575e-01,4.85385e-01,5.32095e-01,5.24272e-01,5.06936e-01,4.89381e-01,5.26567e-01,5.10090e-01
400,-8.94761e-01,8.78928e-02,3.17892e-01,4.89169e-01,5.08976e-01,4.81469e-01,4.85514e-01,5.11266e-01,5.10409e-01,4.96862e-01,4.87070e-01,5.29411e-01,5.04851e-01
500,-9.07658e-01,6.37101e-02,2.28038e-01,4.87025e-01,5.07155e-01,4.81355e-01,4.85098e-01,4.97762e-01,4.99800e-01,4.89624e-01,4.85153e-01,5.20758e-01,5.08593e-01
600,-9.02580e-01,4.80425e-02,1.98826e-01,4.85756e-01,5.10711e-01,4.81122e-01,4.84941e-01,4.89012e-01,4.92498e-01,4.85578e-01,4.84909e-01,5.20473e-01,5.08991e-01
700,-9.18842e-01,3.52504e-02,2.68165e-01,4.84947e-01,5.11616e-01,4.80973e-01,4.84959e-01,4.84291e-01,4.87426e-01,4.82225e-01,4.84935e-01,5.18786e-01,5.08757e-01
800,-9.21290e-01,3.52905e-02,2.50372e-01,4.85023e-01,5.11638e-01,4.80814e-01,4.84957e-01,4.81621e-01,4.83470e-01,4.80315e-01,4.84934e-01,5.16928e-01,5.07151e-01
900,-9.22047e-01,3.53594e-02,2.27942e-01,4.84961e-01,5.11858e-01,4.80661e-01,4.84949e-01,4.80308e-01,4.81820e-01,4.79073e-01,4.84927e-01,5.15059e-01,5.06239e-01
1000,-9.18412e-01,3.51637e-02,2.58895e-01,4.84981e-01,5.11324e-01,4.80542e-01,4.84963e-01,4.79712e-01,4.80822e-01,4.78414e-01,4.84922e-01,5.13357e-01,5.04221e-01
1100,-9.15974e-01,3.53096e-02,2.74188e-01,4.84954e-01,5.12337e-01,4.80471e-01,4.84981e-01,4.79451e-01,4.80326e-01,4.78088e-01,4.84909e-01,5.12336e-01,5.02398e-01
1200,-9.16025e-01,3.53437e-02,2.60960e-01,4.84978e-01,5.12075e-01,4.80426e-01,4.84945e-01,4.79357e-01,4.80150e-01,4.77868e-01,4.84898e-01,5.11067e-01,5.00642e-01
1300,-9.16524e-01,3.52927e-02,2.89760e-01,4.84983e-01,5.12223e-01,4.80360e-01,4.84957e-01,4.79309e-01,4.80069e-01,4.77711e-01,4.84943e-01,5.09909e-01,4.97924e-01
1400,-9.18317e-01,3.53068e-02,2.69644e-01,4.84971e-01,5.10861e-01,4.80300e-01,4.84960e-01,4.79283e-01,4.80066e-01,4.77610e-01,4.84894e-01,5.07196e-01,4.96283e-01
1500,-9.20239e-01,3.56238e-02,2.40549e-01,4.84974e-01,5.12585e-01,4.80271e-01,4.84963e-01,4.79251e-01,4.80068e-01,4.77554e-01,4.84948e-01,5.04554e-01,4.94769e-01
1600,-9.22120e-01,3.59532e-02,2.25999e-01,4.84953e-01,5.11996e-01,4.80238e-01,4.84976e-01,4.79208e-01,4.80099e-01,4.77511e-01,4.84985e-01,5.01721e-01,4.93246e-01
1700,-9.12221e-01,3.56733e-02,3.13374e-01,4.84961e-01,5.11798e-01,4.80221e-01,4.84933e-01,4.79144e-01,4.80104e-01,4.77482e-01,4.84971e-01,4.99829e-01,4.91498e-01
1800,-9.17577e-01,3.52879e-02,2.78804e-01,4.85046e-01,5.11185e-01,4.80244e-01,4.84952e-01,4.79083e-01,4.80090e-01,4.77464e-01,4.84918e-01,4.97793e-01,4.90053e-01
1900,-9.25336e-01,3.53591e-02,2.22682e-01,4.84990e-01,5.10769e-01,4.80241e-01,4.84942e-01,4.79070e-01,4.80081e-01,4.77445e-01,4.84877e-01,4.96073e-01,4.99085e-01
2000,-9.12488e-01,3.52156e-02,3.14384e-01,4.85002e-01,5.09427e-01,4.80214e-01,4.84932e-01,4.79079e-01,4.80072e-01,4.77437e-01,4.84975e-01,4.95197e-01,4.98610e-01
2100,-9.17924e-01,3.56688e-02,2.64970e-01,4.85045e-01,5.10364e-01,4.80247e-01,4.84979e-01,4.79091e-01,4.80072e-01,4.77429e-01,4.84930e-01,4.92888e-01,4.98108e-01
2200,-9.16151e-01,3.53738e-02,2.90707e-01,4.85047e-01,5.11384e-01,4.80255e-01,4.84948e-01,4.79063e-01,4.80053e-01,4.77418e-01,4.84952e-01,4.91228e-01,4.97586e-01
2300,-9.21123e-01,3.52834e-02,2.31714e-01,4.84999e-01,5.11605e-01,4.80257e-01,4.85063e-01,4.79053e-01,4.80033e-01,4.77418e-01,4.84934e-01,4.89585e-01,4.97044e-01
2400,-9.11212e-01,3.53282e-02,2.66742e-01,4.85021e-01,5.11564e-01,4.80247e-01,4.84927e-01,4.79069e-01,4.80025e-01,4.77411e-01,4.84894e-01,4.89031e-01,4.96502e-01
2500,-9.14435e-01,3.51817e-02,2.66858e-01,4.84969e-01,5.11487e-01,4.80285e-01,4.84953e-01,4.79064e-01,4.80020e-01,4.77411e-01,4.84934e-01,4.88844e-01,4.95968e-01
2600,-9.22120e-01,3.56245e-02,2.68068e-01,4.85012e-01,5.11053e-01,4.80266e-01,4.84986e-01,4.79082e-01,4.80015e-01,4.77408e-01,4.84944e-01,4.87618e-01,4.95392e-01
2700,-9.18386e-01,3.54781e-02,2.34435e-01,4.85058e-01,5.07382e-01,4.80282e-01,4.84987e-01,4.79089e-01,4.80005e-01,4.77403e-01,4.84948e-01,4.87679e-01,4.94824e-01
2800,-9.09652e-01,3.58126e-02,3.58476e-01,4.84983e-01,5.06719e-01,4.80307e-01,4.84992e-01,4.79059e-01,4.80013e-01,4.77404e-01,4.84933e-01,4.86624e-01,4.94250e-01
2900,-9.18593e-01,3.53940e-02,2.16660e-01,4.84922e-01,5.06851e-01,4.80309e-01,4.85056e-01,4.79080e-01,4.80003e-01,4.77402e-01,4.84931e-01,4.86121e-01,4.93667e-01
3000,-9.18150e-01,3.53896e-02,2.72909e-01,4.85063e-01,5.06433e-01,4.80323e-01,4.84937e-01,4.79092e-01,4.80004e-01,4.77402e-01,4.84920e-01,4.85355e-01,4.93067e-01
3100,-9.14625e-01,3.53285e-02,3.48190e-01,4.84968e-01,5.05897e-01,4.80317e-01,4.84998e-01,4.79071e-01,4.79996e-01,4.77399e-01,4.84949e-01,4.84912e-01,4.92449e-01
3200,-9.17736e-01,3.51689e-02,2.96910e-01,4.84986e-01,5.06522e-01,4.80297e-01,4.84956e-01,4.79084e-01,4.79997e-01,4.77391e-01,4.84885e-01,4.80856e-01,4.91842e-01
3300,-9.15431e-01,3.59103e-02,3.15210e-01,4.84999e-01,5.08238e-01,4.80301e-01,4.84902e-01,4.79067e-01,4.80007e-01,4.77390e-01,4.84937e-01,4.80030e-01,4.91256e-01
3400,-9.18866e-01,3.53737e-02,2.95086e-01,4.84994e-01,5.08488e-01,4.80324e-01,4.84893e-01,4.79049e-01,4.79993e-01,4.77392e-01,4.84892e-01,4.79424e-01,4.90657e-01
